source,definition,rows,target_rate,prediction_mean,auc_exp016,log_loss,calibration_gap,weak_candidate,weak_reasons,severity,auc_exp022,auc_exp019,auc_exp003,auc_exp006,auc_exp008,best_model,best_model_auc,best_alt_delta_vs_exp016
oof_quantile,q05-10,34568,0.030374913214533672,0.029367862992372047,0.5843429116977658,0.13484452319627835,0.0010070502221616248,True,low_auc,0.3823658688812235,0.6034932474093521,0.579731288660819,0.5802891410159148,0.5822301592037257,0.574744629040828,EXP-022,0.6034932474093521,0.019150335711586308
screen_social_grid,5<screen<=6 & 2<social<=3,17592,0.6555820827648932,0.6568840267210577,0.8440629554918414,0.4557053868535704,0.001301943956164564,True,low_auc+high_logloss,0.36428608539188556,0.8391064128829308,0.8373848806342248,0.8361800599260598,0.835947971196326,0.8399063161778623,EXP-016,0.8440629554918414,0.0
oof_quantile,q60-70,69139,0.9965721228250336,0.9969062127919632,0.6140699497739529,0.022709423769083827,0.00033408996692962933,True,low_auc,0.3519658705498043,0.63763754476945,0.58434825858582,0.6322143221333008,0.5766769338020232,0.6148568559491393,EXP-022,0.63763754476945,0.0235675949954971
oof_quantile,q70-80,69147,0.9993636744905781,0.99968652039534,0.6274860780942282,0.0053977668588563,0.0003228459047619481,True,low_auc,0.33853849816736137,0.6450173851154996,0.6317131344120043,0.6294099190536392,0.6714726238697701,0.6079067742092503,EXP-006,0.6714726238697701,0.04398654577554195
oof_quantile,q50-60,69136,0.9778118491090025,0.9768428402890129,0.6410463784369956,0.10380839800114984,0.0009690088199896252,True,low_auc,0.3256243607398216,0.6322340297053461,0.6159098056355383,0.6134610457009153,0.6054440328655714,0.6208313126290554,EXP-016,0.6410463784369956,0.0
oof_quantile,q00-05,34569,0.0072897682895079405,0.005896375550376009,0.6544183525125915,0.04233596873490524,0.0013933927391319312,True,low_auc,0.312676770583368,0.6663589613366692,0.6248935577766769,0.6497098018428554,0.6255880629296137,0.6365297568746298,EXP-022,0.6663589613366692,0.011940608824077659
screen_band,6<=screen<6.5,36866,0.46937557641187,0.4697709238735173,0.9122124149006563,0.3750118241316304,0.0003953474616473218,True,low_auc+high_logloss+mixed_classes,0.28391204317848345,0.9106050599908688,0.9096069945443681,0.9062357060919387,0.9066026771076212,0.9080948860724862,EXP-016,0.9122124149006563,0.0
screen_social_grid,7<screen<=8 & 1<social<=2,11914,0.565553130770522,0.5641463682740486,0.9076648313585594,0.38094570830744995,0.0014067624964734238,True,low_auc+high_logloss+mixed_classes,0.260476218748834,0.9044937866528301,0.9044365264620645,0.895982978268539,0.8960487830446067,0.8980691043623032,EXP-016,0.9076648313585594,0.0
region_prediction_tertile,clear_positive_zone & prediction_tertile=middle,99309,0.9993958251517989,0.9997476353186681,0.7065123242215707,0.005115681423869552,0.0003518101668691376,True,low_auc,0.259541216302126,0.7321742956268241,0.7063009870796347,0.7230071167803538,0.7481904099789419,0.7096367049877916,EXP-006,0.7481904099789419,0.0416780857573712
screen_social_grid,6<screen<=7 & 1<social<=2,17494,0.34560420715673945,0.3440700704985723,0.8870653215286577,0.39361161902837005,0.0015341366581671512,True,low_auc+high_logloss,0.2594221442318715,0.8850577901127463,0.8846659942074656,0.8784527826842565,0.8782868639521876,0.8798763550029786,EXP-016,0.8870653215286577,0.0
screen_social_grid,4<screen<=5 & 1<social<=2,28676,0.3112010043241735,0.3106031450258417,0.885732327272341,0.38566415089892264,0.0005978592983318376,True,low_auc+high_logloss,0.25187139299890554,0.8834599515843161,0.8813207234522058,0.8791342033869012,0.8783113373650386,0.8815845365317929,EXP-016,0.885732327272341,0.0
region_prediction_tertile,clear_negative_zone & prediction_tertile=low,51545,0.018061887670967117,0.016245129927884926,0.716701313880584,0.08531025038110664,0.0018167577430821917,True,low_auc,0.2508171742193258,0.7229001014693166,0.7081332748350789,0.705536442136111,0.7088047074089154,0.7078072568536141,EXP-022,0.7229001014693166,0.006198787588732602
screen_band,5<=screen<6,61521,0.40251296305326634,0.40283049453433395,0.9014643828115377,0.388008391807785,0.0003175314810676122,True,low_auc+high_logloss+mixed_classes,0.24071621360457324,0.8992719350958046,0.8983136300582648,0.8981147755503169,0.8984483112650734,0.8996432301511216,EXP-016,0.9014643828115377,0.0
screen_social_grid,5<screen<=6 & 1<social<=2,23866,0.2510265649878488,0.2507724786963796,0.8764368837638742,0.36462995089661954,0.00025408629146922435,True,low_auc+high_logloss,0.23978886349820658,0.8741149579847628,0.872359877812056,0.873252143950191,0.8720021570817766,0.873777463397894,EXP-016,0.8764368837638742,0.0
oof_fixed_probability,"(-0.001, 0.1]",95137,0.033099635262831495,0.03274494615274194,0.7336381139528423,0.134054106210638,0.00035468911008955384,True,low_auc,0.23241830551407489,0.7345370223984232,0.7253307564810979,0.7207992756949411,0.7235292733517246,0.7222531169342328,EXP-022,0.7345370223984232,0.0008989084455809371
