encoding,feature,granularity,smoothing,auc,orientation,fold_std,coverage,unseen_rate
TE,gaming_hours,exact,50.0,0.6324177229631327,1,0.002226505191748942,1.0,0.0
TE,gaming_hours,exact,100.0,0.6322673259838653,1,0.0022218346551303343,1.0,0.0
TE,gaming_hours,exact,200.0,0.6319586382446846,1,0.0022288054273741486,1.0,0.0
count,gaming_hours,round_0.1,,0.5754054932845334,-1,0.0022149384381563325,1.0,0.0
TE,gaming_hours,round_0.1,1.0,0.6188645155889507,1,0.002110255595454197,1.0,0.0
TE,gaming_hours,round_0.1,5.0,0.6188644264418529,1,0.002110255595454197,1.0,0.0
TE,gaming_hours,round_0.1,10.0,0.6188643683399478,1,0.002110202101658334,1.0,0.0
TE,gaming_hours,round_0.1,20.0,0.6188652256297519,1,0.0021099739133282926,1.0,0.0
TE,gaming_hours,round_0.1,50.0,0.6188700056252782,1,0.00210899046103953,1.0,0.0
TE,gaming_hours,round_0.1,100.0,0.6188695184928166,1,0.00210768855861616,1.0,0.0
TE,gaming_hours,round_0.1,200.0,0.6188695973997705,1,0.002106230341308838,1.0,0.0
count,gaming_hours,round_0.25,,0.5771565868394931,-1,0.0022004601171426758,1.0,0.0
TE,gaming_hours,round_0.25,1.0,0.6151122480249684,1,0.001504209845806721,1.0,0.0
TE,gaming_hours,round_0.25,5.0,0.6151122480249684,1,0.001504209845806721,1.0,0.0
TE,gaming_hours,round_0.25,10.0,0.6151122480249684,1,0.001504209845806721,1.0,0.0
TE,gaming_hours,round_0.25,20.0,0.6151122480249684,1,0.001504209845806721,1.0,0.0
TE,gaming_hours,round_0.25,50.0,0.6151122480249684,1,0.001504209845806721,1.0,0.0
TE,gaming_hours,round_0.25,100.0,0.6151122480249684,1,0.001504209845806721,1.0,0.0
TE,gaming_hours,round_0.25,200.0,0.6151098158639975,1,0.001504209845806721,1.0,0.0
count,gaming_hours,round_0.5,,0.5730769503276338,-1,0.0020691588193082282,1.0,0.0
TE,gaming_hours,round_0.5,1.0,0.6148507834946454,1,0.001835711893533191,1.0,0.0
TE,gaming_hours,round_0.5,5.0,0.6148507834946454,1,0.001835711893533191,1.0,0.0
TE,gaming_hours,round_0.5,10.0,0.6148507834946454,1,0.001835711893533191,1.0,0.0
TE,gaming_hours,round_0.5,20.0,0.6148507834946454,1,0.001835711893533191,1.0,0.0
TE,gaming_hours,round_0.5,50.0,0.6148507834946454,1,0.001835711893533191,1.0,0.0
TE,gaming_hours,round_0.5,100.0,0.6148507834946454,1,0.001835711893533191,1.0,0.0
TE,gaming_hours,round_0.5,200.0,0.6148507834946454,1,0.001835711893533191,1.0,0.0
count,gaming_hours,round_1.0,,0.5752966170328743,-1,0.0008941048514437727,1.0,0.0
TE,gaming_hours,round_1.0,1.0,0.6083904549730349,1,0.0015648780628003593,1.0,0.0
TE,gaming_hours,round_1.0,5.0,0.6083904549730349,1,0.0015648780628003593,1.0,0.0
TE,gaming_hours,round_1.0,10.0,0.6083904549730349,1,0.0015648780628003593,1.0,0.0
TE,gaming_hours,round_1.0,20.0,0.6083904549730349,1,0.0015648780628003593,1.0,0.0
TE,gaming_hours,round_1.0,50.0,0.6083904549730349,1,0.0015648780628003593,1.0,0.0
TE,gaming_hours,round_1.0,100.0,0.6083904549730349,1,0.0015648780628003593,1.0,0.0
TE,gaming_hours,round_1.0,200.0,0.6083904549730349,1,0.0015648780628003593,1.0,0.0
count,sleep_hours,exact,,0.509816651159045,1,0.001607364787789626,1.0,0.0
TE,sleep_hours,exact,1.0,0.5913475382206518,1,0.0012321136927930664,1.0,0.0
TE,sleep_hours,exact,5.0,0.5913476815826626,1,0.0012336640109143978,1.0,0.0
TE,sleep_hours,exact,10.0,0.5913470432330155,1,0.0012371542158904944,1.0,0.0
TE,sleep_hours,exact,20.0,0.5913450228902289,1,0.0012308129367859363,1.0,0.0
TE,sleep_hours,exact,50.0,0.5913248707442716,1,0.001226249574076121,1.0,0.0
TE,sleep_hours,exact,100.0,0.5912644576519436,1,0.0012318807445673402,1.0,0.0
TE,sleep_hours,exact,200.0,0.59111123028277,1,0.00121660049911391,1.0,0.0
count,sleep_hours,round_0.1,,0.512249284587259,1,0.0012193013353479396,1.0,0.0
TE,sleep_hours,round_0.1,1.0,0.5523300085964848,1,0.0007437102177767512,1.0,0.0
TE,sleep_hours,round_0.1,5.0,0.5523305849064906,1,0.0007396383705602863,1.0,0.0
TE,sleep_hours,round_0.1,10.0,0.5523305849064906,1,0.0007396383705602863,1.0,0.0
TE,sleep_hours,round_0.1,20.0,0.5523299874260789,1,0.000743119931669941,1.0,0.0
TE,sleep_hours,round_0.1,50.0,0.5523307926525164,1,0.000743119931669941,1.0,0.0
TE,sleep_hours,round_0.1,100.0,0.5523298434348423,1,0.000743119931669941,1.0,0.0
TE,sleep_hours,round_0.1,200.0,0.5523357785875812,1,0.0007575030139651936,1.0,0.0
count,sleep_hours,round_0.25,,0.5166693876017175,1,0.002748833503239904,1.0,0.0
TE,sleep_hours,round_0.25,1.0,0.5434864166727047,1,0.0010430201055305877,1.0,0.0
TE,sleep_hours,round_0.25,5.0,0.5434877545692891,1,0.0010430201055305877,1.0,0.0
TE,sleep_hours,round_0.25,10.0,0.5434877545692891,1,0.0010430201055305877,1.0,0.0
TE,sleep_hours,round_0.25,20.0,0.5434877545692891,1,0.0010430201055305877,1.0,0.0
TE,sleep_hours,round_0.25,50.0,0.5434877545692891,1,0.0010430201055305877,1.0,0.0
TE,sleep_hours,round_0.25,100.0,0.5434899187409314,1,0.0010430201055305877,1.0,0.0
TE,sleep_hours,round_0.25,200.0,0.5434913142624271,1,0.0010463843398506453,1.0,0.0
count,sleep_hours,round_0.5,,0.5097062622788361,1,0.0006110515188677133,1.0,0.0
TE,sleep_hours,round_0.5,1.0,0.535781121605779,1,0.001090248193461167,1.0,0.0
TE,sleep_hours,round_0.5,5.0,0.535781121605779,1,0.001090248193461167,1.0,0.0
