label,fold,auc,columns,nnz,csr_mb,peak_rss_gb,seconds,effective_bins
work_over_screen_step_0.02,1,0.9631296789214967,229979,11614995,90.72527313232422,1.0576629638671875,47.87163840001449,{}
work_over_screen_step_0.02,2,0.9635884376891468,229763,11614995,90.72527313232422,1.0519294738769531,45.23741649999283,{}
work_over_screen_step_0.02,3,0.9637165983056648,229878,11614995,90.72527313232422,1.0519371032714844,46.277226199861616,{}
work_over_screen_step_0.02,4,0.9643252434448051,229844,11614995,90.72527313232422,1.0519371032714844,49.371634599985555,{}
work_over_screen_step_0.02,5,0.9631282929862626,230028,11615016,90.72543716430664,1.05194091796875,48.67897289991379,{}
work_over_screen_step_0.025,1,0.9631181410230353,229970,11614995,90.72527313232422,1.0600395202636719,47.41384850000031,{}
work_over_screen_step_0.025,2,0.9635752001231361,229754,11614995,90.72527313232422,1.0590629577636719,58.108128200052306,{}
work_over_screen_step_0.025,3,0.9637082628558977,229869,11614995,90.72527313232422,1.0523910522460938,60.10144410002977,{}
work_over_screen_step_0.025,4,0.9643178005805639,229835,11614995,90.72527313232422,1.0524177551269531,48.40818089991808,{}
work_over_screen_step_0.025,5,0.9631149020371081,230019,11615016,90.72543716430664,1.0524253845214844,47.92583360010758,{}
work_over_screen_step_0.05,1,0.963098840573646,229952,11614995,90.72527313232422,1.0585556030273438,58.63899650005624,{}
work_over_screen_step_0.05,2,0.9635904709979597,229736,11614995,90.72527313232422,1.0585479736328125,54.86306010000408,{}
work_over_screen_step_0.05,3,0.9636906592831423,229851,11614995,90.72527313232422,1.0548324584960938,51.665363900130615,{}
work_over_screen_step_0.05,4,0.9642880527195213,229816,11614995,90.72527313232422,1.0548439025878906,55.04179750010371,{}
work_over_screen_step_0.05,5,0.963108093148717,230001,11615016,90.72543716430664,1.0552177429199219,51.53969129989855,{}
work_over_screen_step_0.1,1,0.9629349788195709,229942,11614995,90.72527313232422,1.0589790344238281,60.15650799986906,{}
work_over_screen_step_0.1,2,0.9634563274197347,229726,11614995,90.72527313232422,1.0589866638183594,50.64952690014616,{}
work_over_screen_step_0.1,3,0.9635838151718941,229841,11614995,90.72527313232422,1.05902099609375,50.69698389992118,{}
work_over_screen_step_0.1,4,0.9641547722953494,229807,11614995,90.72527313232422,1.0501060485839844,51.4541682000272,{}
work_over_screen_step_0.1,5,0.9629853532686523,229991,11615016,90.72543716430664,1.0506172180175781,49.80892710015178,{}
social_over_screen_round_1.0,1,0.9629786454837296,229943,11614995,90.72527313232422,1.0533447265625,49.97062150016427,{}
social_over_screen_round_1.0,2,0.9634619711583468,229730,11614995,90.72527313232422,1.0533599853515625,51.661922300001606,{}
social_over_screen_round_1.0,3,0.9635866502346186,229843,11614995,90.72527313232422,1.0533638000488281,48.38628480001353,{}
