label,spec,fold,auc,columns,nnz,csr_mb,peak_rss_gb,iterations,seconds
pair_work_over_screen_weekend_over_screen,"[('weekend_over_screen', 2), ('work_over_screen', 2)]",3,0.9615173236420262,225420,9402615,73.84615325927734,1.2401084899902344,10,28.346730399876833
pair_work_over_screen_weekend_over_screen,"[('weekend_over_screen', 2), ('work_over_screen', 2)]",4,0.9619938623175486,225418,9402615,73.84615325927734,1.2401084899902344,11,32.535692599834874
pair_work_over_screen_weekend_over_screen,"[('weekend_over_screen', 2), ('work_over_screen', 2)]",5,0.9609867552491171,225507,9402632,73.84628677368164,1.2401084899902344,11,34.81434420007281
gran_work_over_screen_1,"[('work_over_screen', 1)]",1,0.9607348930143957,224576,8849520,69.62637329101562,1.2065544128417969,10,31.577950400067493
gran_work_over_screen_1,"[('work_over_screen', 1)]",2,0.9609769818468998,224358,8849520,69.62637329101562,1.2110443115234375,10,31.288182099815458
gran_work_over_screen_1,"[('work_over_screen', 1)]",3,0.9612971199003985,224473,8849520,69.62637329101562,1.2110481262207031,11,30.61344560002908
gran_work_over_screen_1,"[('work_over_screen', 1)]",4,0.961743371053305,224480,8849520,69.62637329101562,1.2110481262207031,10,32.31886410014704
gran_work_over_screen_1,"[('work_over_screen', 1)]",5,0.9607566190840304,224554,8849536,69.62649917602539,1.2110481262207031,10,28.566166500095278
gran_work_over_screen_3,"[('work_over_screen', 3)]",1,0.9608548539211286,225427,8849520,69.62637329101562,1.2116928100585938,15,24.197029100032523
gran_work_over_screen_3,"[('work_over_screen', 3)]",2,0.9610301523395481,225207,8849520,69.62637329101562,1.2168388366699219,15,28.651673699961975
gran_work_over_screen_3,"[('work_over_screen', 3)]",3,0.9613507450585563,225322,8849520,69.62637329101562,1.2168426513671875,15,27.735891999909654
gran_work_over_screen_3,"[('work_over_screen', 3)]",4,0.9618457674600996,225331,8849520,69.62637329101562,1.2168426513671875,15,26.88684230018407
gran_work_over_screen_3,"[('work_over_screen', 3)]",5,0.9608160524895328,225405,8849536,69.62649917602539,1.2168426513671875,15,25.470127099892125
gran_social_over_screen_1,"[('social_over_screen', 1)]",1,0.9604008757380376,224576,8849520,69.62637329101562,1.2142829895019531,10,23.58737890003249
gran_social_over_screen_1,"[('social_over_screen', 1)]",2,0.9609194174383514,224358,8849520,69.62637329101562,1.2194290161132812,10,23.753493199823424
gran_social_over_screen_1,"[('social_over_screen', 1)]",3,0.9610611452026305,224473,8849520,69.62637329101562,1.2194328308105469,10,23.421698299935088
gran_social_over_screen_1,"[('social_over_screen', 1)]",4,0.9615892214315046,224480,8849520,69.62637329101562,1.2194328308105469,10,23.348784600151703
gran_social_over_screen_1,"[('social_over_screen', 1)]",5,0.9604063599294315,224554,8849536,69.62649917602539,1.2194328308105469,11,32.355710899923
gran_social_over_screen_3,"[('social_over_screen', 3)]",1,0.9605441681910427,225406,8849520,69.62637329101562,1.2198600769042969,10,24.322936999844387
gran_social_over_screen_3,"[('social_over_screen', 3)]",2,0.9609450743246872,225187,8849520,69.62637329101562,1.225006103515625,10,26.28075070003979
gran_social_over_screen_3,"[('social_over_screen', 3)]",3,0.9610779997951493,225303,8849520,69.62637329101562,1.2250137329101562,11,27.609611300053075
