config,space,metric,signal_type,k,oof_auc,fold_mean,fold_std,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc,pearson_exp016,spearman_exp016,pearson_residual,spearman_residual
SPACE-B|manhattan|mean|k=20,SPACE-B,manhattan,mean,20,0.9307801961733503,0.9307821867528248,0.0007951818083492923,0.9296844029817071,0.9302454999275054,0.9313511363322257,0.9319382599606656,0.9306916345620195,0.8991146664229801,0.9128350095032031,0.00016030557073712433,0.19933995497391943
SPACE-C|euclidean|mean|k=100,SPACE-C,euclidean,mean,100,0.9304974839691574,0.9305005257662092,0.0005794203654812716,0.9296547920023844,0.9302033955417365,0.9310165851029854,0.931267981258155,0.9303598749257844,0.894245730530506,0.9338423681323055,-0.005062128214481344,0.15732431873447136
SPACE-C|euclidean|mean|k=200,SPACE-C,euclidean,mean,200,0.93049313298389,0.9305053167579167,0.0006390168961348835,0.9297148238339684,0.9302605451187516,0.931106556988203,0.9313936121634776,0.9300510456851836,0.8938487537095979,0.9391268816256051,-0.005367398243625698,0.1462574480532462
SPACE-C|manhattan|mean|k=50,SPACE-C,manhattan,mean,50,0.930218190684037,0.9302278652217124,0.0005176362013030797,0.9294587353886583,0.9299816826759733,0.9306625627979302,0.9309244058573142,0.9301119393886863,0.8938718592747881,0.9263210453885513,-0.004027149821779397,0.17175789801133803
SPACE-B|euclidean|mean|k=20,SPACE-B,euclidean,mean,20,0.9300429793249381,0.9300464331921349,0.0008478534952000362,0.9289688590547462,0.9293566407813185,0.9309901509466784,0.9310613729540225,0.9298551422239089,0.8973407693462098,0.9117261239847311,0.00012984191256471916,0.19831373932374133
SPACE-A|manhattan|mean|k=100,SPACE-A,manhattan,mean,100,0.9299308060413468,0.9299348348968565,0.0007063807321237974,0.9290473134659298,0.929373192686364,0.9306462889695581,0.9308575208058215,0.929749858556609,0.8900946004928251,0.9358901527744223,-0.004108565712216402,0.14119258095760215
SPACE-C|euclidean|mean|k=50,SPACE-C,euclidean,mean,50,0.9296583272571959,0.9296686766933909,0.000656683269597291,0.9285967361402544,0.9295413421746899,0.9303669878456047,0.9303537694354235,0.929484547870982,0.8924174535657365,0.9257195199212216,-0.004287159609389916,0.1706547960305596
SPACE-B|manhattan|weighted|k=20,SPACE-B,manhattan,weighted,20,0.9295315328499214,0.929534362737324,0.0008023678517702415,0.9284870997180326,0.9289623997345047,0.9301008770958177,0.9307389625878549,0.9293824745504108,0.8949364622308923,0.9108655019003625,0.00018552602767946092,0.1976768714060588
SPACE-A|manhattan|mean|k=200,SPACE-A,manhattan,mean,200,0.9295178412907528,0.9295227774208208,0.0007140333345623311,0.9286432344419231,0.9289667999933946,0.9301338450390667,0.9305487001684589,0.9293213074612605,0.8880700282407474,0.9391604575489255,-0.004052225553722927,0.13317674208735558
SPACE-A|manhattan|weighted|k=50,SPACE-A,manhattan,weighted,50,0.9294638578364339,0.9294673637038342,0.0006993973432526245,0.9285273744049611,0.9289418211726694,0.9301498411713449,0.9303656678694256,0.9293521139007697,0.8900831467408554,0.9292843352785728,-0.004120646014367846,0.15270228411110406
SPACE-A|manhattan|mean|k=50,SPACE-A,manhattan,mean,50,0.9291573690894435,0.9291605687308625,0.0006911936807766303,0.9282229932261651,0.928626471442177,0.9298205520864498,0.9300457034869879,0.9290871234125327,0.8892611173383598,0.9289333840064369,-0.004132673293826062,0.15253137165282976
SPACE-B|euclidean|weighted|k=20,SPACE-B,euclidean,weighted,20,0.9288747913619831,0.9288788023274439,0.0008394260679282247,0.9278093157362609,0.9282260480100568,0.9297613034872473,0.9299397264624464,0.9286576179412083,0.8933835090617585,0.9098454676347035,0.0001858902682348531,0.19676710534695968
SPACE-A|euclidean|mean|k=100,SPACE-A,euclidean,mean,100,0.9272978964220072,0.9273021203832904,0.0007035306316911575,0.9263815219238065,0.9267429667955357,0.9279167281793961,0.9282650897466267,0.9272042952710873,0.8830521329592773,0.9330417653128085,-0.004167672191790374,0.1388345046802565
SPACE-A|euclidean|weighted|k=50,SPACE-A,euclidean,weighted,50,0.9269472172333735,0.9269517231362624,0.0007208046820942237,0.9258898408824343,0.9265226349255133,0.9276851604640872,0.9278107124626167,0.9268502669466607,0.8833183680890372,0.9259535986396722,-0.004169216497221267,0.151660691831298
SPACE-A|euclidean|mean|k=200,SPACE-A,euclidean,mean,200,0.9269071183025159,0.9269111622185365,0.0006904202575434643,0.9260419339800791,0.9263628924358795,0.9275078533476551,0.9278847445413057,0.926758386787763,0.8811570072237246,0.9368973253318896,-0.00415355067269185,0.12969744365621397
SPACE-A|euclidean|mean|k=50,SPACE-A,euclidean,mean,50,0.9266313795701643,0.9266360093665581,0.0007124963512422011,0.9255639842430441,0.9262170754729306,0.9273567663750538,0.9274668768723341,0.926575343869428,0.882480002821857,0.9256560462915284,-0.004189695976875883,0.1513811046093339
