candidate,method,weights,auc,folds,std,cat_weight
seed_ensemble,rank,"{42: 0.1, 2026: 0.9, 777: 0.0}",0.9657161707658258,"[0.9650416964490652, 0.9656372570151093, 0.9659304230267652, 0.9665057828194467, 0.9654693103987928]",0.0004881539995650452,
seed_ensemble,probability,"{42: 0.2, 2026: 0.0, 777: 0.8}",0.9657304131361294,"[0.9650666346746557, 0.9656759134784781, 0.9659158292026738, 0.9664890009175908, 0.9655105033362759]",0.0004694166919872797,
seed_ensemble,rank,"{42: 0.2, 2026: 0.0, 777: 0.8}",0.9657291273688786,"[0.9650660201658032, 0.9656744936636393, 0.965913877972149, 0.9664875307394131, 0.9655092729105695]",0.00046911283623048464,
seed_ensemble,probability,"{42: 0.2, 2026: 0.1, 777: 0.7}",0.965754332310224,"[0.96508632407618, 0.96569661243026, 0.9659464663508874, 0.966515524002615, 0.9655298140044455]",0.0004725042731311452,
seed_ensemble,rank,"{42: 0.2, 2026: 0.1, 777: 0.7}",0.9657525697115479,"[0.9650852285149802, 0.9656944580972013, 0.96594439232008, 0.9665132288551826, 0.9655283976003823]",0.00047209553724353776,
seed_ensemble,probability,"{42: 0.2, 2026: 0.2, 777: 0.6}",0.9657716965035006,"[0.9650999927117779, 0.9657100595686535, 0.9659703090152784, 0.9665355206585654, 0.9655430269674915]",0.00047542593231366434,
seed_ensemble,rank,"{42: 0.2, 2026: 0.2, 777: 0.6}",0.9657695988116013,"[0.9650987402250102, 0.9657075374690461, 0.9659678700088372, 0.9665326545151904, 0.9655415728856845]",0.0004748608473494253,
seed_ensemble,probability,"{42: 0.2, 2026: 0.3, 777: 0.5}",0.9657826085385709,"[0.9651087215537728, 0.9657183653332286, 0.9659867369783027, 0.9665494877952636, 0.9655501374046921]",0.0004779259078612568,
seed_ensemble,rank,"{42: 0.2, 2026: 0.3, 777: 0.5}",0.9657803547377626,"[0.9651074612016978, 0.9657151718915795, 0.9659839215788464, 0.9665463453512527, 0.9655488246461389]",0.00047724663977965684,
seed_ensemble,probability,"{42: 0.2, 2026: 0.4, 777: 0.4}",0.965787091874396,"[0.9651110480355748, 0.9657203250633597, 0.9659955647709387, 0.9665576502082686, 0.9655513197500455]",0.00048047947468244723,
