label,spec,fold,auc,columns,nnz,csr_mb,peak_rss_gb,seconds
diff_social_minus_gaming,"[('social_minus_gaming', 2)]",4,0.9641015985043464,230813,11614995,90.72527313232422,1.3166694641113281,44.51218400010839
diff_social_minus_gaming,"[('social_minus_gaming', 2)]",5,0.9628364259613439,231005,11615016,90.72543716430664,1.3166847229003906,37.482708600116894
diff_social_minus_work,"[('social_minus_work', 2)]",1,0.9629013614810255,231097,11614995,90.72527313232422,1.3182487487792969,36.83353820000775
diff_social_minus_work,"[('social_minus_work', 2)]",2,0.9633792971366232,230880,11614995,90.72527313232422,1.3233795166015625,46.54768699989654
diff_social_minus_work,"[('social_minus_work', 2)]",3,0.9634621058834503,230999,11614995,90.72527313232422,1.3233451843261719,36.39758230000734
diff_social_minus_work,"[('social_minus_work', 2)]",4,0.9641242975276747,230966,11614995,90.72527313232422,1.3233451843261719,37.235513399820775
diff_social_minus_work,"[('social_minus_work', 2)]",5,0.9629154738673252,231149,11615016,90.72543716430664,1.3233604431152344,46.19346740003675
diff_work_minus_gaming,"[('work_minus_gaming', 2)]",1,0.9628201597940962,230824,11614995,90.72527313232422,1.3237724304199219,36.03320119995624
diff_work_minus_gaming,"[('work_minus_gaming', 2)]",2,0.9633434587367664,230607,11614995,90.72527313232422,1.3289031982421875,36.682860400062054
diff_work_minus_gaming,"[('work_minus_gaming', 2)]",3,0.9634212270901723,230724,11614995,90.72527313232422,1.3289070129394531,44.17303840001114
diff_work_minus_gaming,"[('work_minus_gaming', 2)]",4,0.9640883416556469,230688,11614995,90.72527313232422,1.3289070129394531,36.10387480002828
diff_work_minus_gaming,"[('work_minus_gaming', 2)]",5,0.9628675832986265,230876,11615016,90.72543716430664,1.3289070129394531,36.06392110022716
diff_weekend_minus_social,"[('weekend_minus_social', 2)]",1,0.9628295948645764,231574,11614995,90.72527313232422,1.3274612426757812,36.79917969997041
