iterations,validation_auc,is_checkpoint
137,0.9395522902892729,False
138,0.9396666604847888,False
139,0.9397481273086921,False
140,0.9398138292657255,False
141,0.93987952437233,False
142,0.9399442950515998,False
143,0.9399844479531242,False
144,0.9400509826178598,False
145,0.940116824120669,False
146,0.9401586744062661,False
147,0.9402041404497736,False
148,0.940237765907346,False
149,0.9402896336767474,False
150,0.940341230093045,False
151,0.9403889466293366,False
152,0.9404557436401305,False
153,0.94051989841509,False
154,0.9405790734356105,False
155,0.9406409543755835,False
156,0.9407289179433681,False
157,0.9407681262468502,False
158,0.9408006103468365,False
159,0.9409041639686918,False
160,0.9409841426003263,False
161,0.9410148581478941,False
162,0.9410785744953979,False
163,0.9411513098132506,False
164,0.9411968768371558,False
165,0.9412317376554232,False
166,0.9412610264108636,False
167,0.9413603987338373,False
168,0.9413969176096406,False
169,0.9414343148626726,False
170,0.9414785156065731,False
171,0.9415302109735116,False
172,0.9416190086444561,False
173,0.9416766778391962,False
174,0.9417078518580674,False
175,0.9417662893157331,False
176,0.9418154860521263,False
177,0.9419111205780657,False
178,0.9419357306173636,False
179,0.9419636697114324,False
180,0.9420585169454768,False
181,0.9421169381650886,False
182,0.9421303672893914,False
183,0.9422055375541716,False
184,0.9422571230605267,False
185,0.9422960915989941,False
186,0.9423433346945262,False
187,0.9424341219076541,False
188,0.9425202850812114,False
189,0.9425783460190021,False
190,0.9426635311035312,False
191,0.9427339240821073,False
192,0.9427915186832873,False
193,0.942830839891988,False
194,0.9428489988569311,False
195,0.9428782656656267,False
196,0.9429474519538217,False
197,0.9429821064980606,False
198,0.9430528726981571,False
199,0.9430884500205533,False
200,0.9431471855987399,False
201,0.943202117666518,False
202,0.9432376130374858,False
203,0.9432931296752045,False
204,0.9433176082877536,False
205,0.9434008691628942,False
206,0.9434557654562097,False
207,0.9434848285280727,False
208,0.9435588973961025,False
209,0.9436139083706738,False
210,0.9436517562297018,False
211,0.9436745181754891,False
212,0.943777112991005,False
213,0.9437993583637023,False
214,0.9438515056052348,False
215,0.9438735398832312,False
216,0.9439256206502306,False
217,0.9439781692761581,False
218,0.9440063121070597,False
219,0.9440403856334321,False
220,0.944072651407709,False
221,0.9441418354124278,False
222,0.9441961144059751,False
223,0.9442765062199656,False
224,0.9442995810020103,False
225,0.9443342875587656,False
226,0.9443767122655197,False
227,0.9444314870271504,False
228,0.9444535134398395,False
229,0.9444985806361479,False
230,0.9445266902297829,False
231,0.9445496886422301,False
232,0.9445960848217632,False
233,0.944623302591031,False
234,0.9446825806217062,False
235,0.944720404884812,False
236,0.9447776026685496,False
237,0.9447978604019606,False
238,0.9448654259293997,False
239,0.9449113435937816,False
240,0.9449384211829747,False
241,0.9450037651416634,False
242,0.9450485260984237,False
243,0.9451068833806983,False
244,0.9451309304162208,False
245,0.9451716108007776,False
246,0.9451995876990658,False
247,0.9452507373151612,False
248,0.9452996415128644,False
249,0.9453128197084903,False
250,0.9453928225703458,False
251,0.9454424014084452,False
252,0.945482221683584,False
253,0.9455158466337171,False
254,0.9455624536542314,False
255,0.9456174443312352,False
256,0.9456637588130594,False
257,0.9457240121418475,False
258,0.9457445598767524,False
259,0.9457790398619118,False
260,0.9458554480245831,False
261,0.9459114731163648,False
262,0.9459716711342817,False
263,0.9460090485971856,False
264,0.9460349815304379,False
265,0.9460740589146104,False
266,0.9461101413927149,False
267,0.9461272573164139,False
268,0.9461896738584462,False
269,0.9462303126329898,False
270,0.9462622993157154,False
271,0.9463341496596299,False
272,0.9463568570557048,False
273,0.9463877372672881,False
274,0.9464267319388735,False
275,0.9464452646327761,False
276,0.9464738078331943,False
277,0.9464851310848807,False
278,0.9465443000161311,False
279,0.9465659268204623,False
280,0.9465862289548018,False
281,0.9466244916453633,False
282,0.9466431123799645,False
283,0.9466633142950651,False
284,0.946708023239309,False
285,0.946736539291731,False
286,0.9467622743237012,False
287,0.9468097777355352,False
288,0.9468851235742733,False
289,0.9469337339646886,False
290,0.9469792720645603,False
291,0.947026601424754,False
292,0.9470483048524021,False
293,0.9470942775739355,False
294,0.9471454599198583,False
295,0.9471732932128571,False
296,0.9472142562410398,False
297,0.9472562265360042,False
298,0.9472991416827303,False
299,0.9473235652381278,False
300,0.947342355203697,False
301,0.9473828727002757,False
302,0.947428701055361,False
303,0.9474660206701977,False
304,0.9475118168028949,False
305,0.9475222251417312,False
306,0.9475646620270258,False
307,0.9475911810525365,False
308,0.9476279447677465,False
