stage,name,method,weights,auc,delta,fold1,fold2,fold3,fold4,fold5,std
marginal,marginal_1234_0.025,probability,42:0.390000;2026:0.292500;777:0.292500;1234:0.025000,0.9657973709945038,2.7082896404406753e-06,0.9651220947329054,0.9657379058013518,0.9660005556890395,0.9665621640066762,0.9655640434098693,0.0004775286944926196
marginal,marginal_1234_0.025,rank,42:0.390000;2026:0.292500;777:0.292500;1234:0.025000,0.9657949610340426,2.9832917924910163e-07,0.965120720714453,0.9657347140088803,0.9659969543931458,0.9665594564380465,0.9655629964252985,0.00047692595482002
marginal,marginal_1234_0.05,probability,42:0.380000;2026:0.285000;777:0.285000;1234:0.050000,0.9657998137660496,5.151061186259298e-06,0.9651258305001831,0.9657406656362175,0.9660032649068464,0.9665634830948368,0.9655657958689589,0.0004768856320639344
marginal,marginal_1234_0.05,rank,42:0.380000;2026:0.285000;777:0.285000;1234:0.050000,0.9657973766118673,2.713907003903948e-06,0.9651244815999704,0.9657375636604816,0.965999550832594,0.9665607499005283,0.9655645589733368,0.0004762735626237642
marginal,marginal_1234_0.075,probability,42:0.370000;2026:0.277500;777:0.277500;1234:0.075000,0.9658020381759206,7.375471057224914e-06,0.9651294021108844,0.9657433918532372,0.966005549905495,0.9665649528924352,0.9655670512862996,0.0004763514226396104
marginal,marginal_1234_0.075,rank,42:0.370000;2026:0.277500;777:0.277500;1234:0.075000,0.9657995642627684,4.9015579050015745e-06,0.9651278424965501,0.9657400744695674,0.9660018538453337,0.9665621424405109,0.9655660909478527,0.00047575319256483374
marginal,marginal_1234_0.1,probability,42:0.360000;2026:0.270000;777:0.270000;1234:0.100000,0.9658039406454186,9.277940555274533e-06,0.9651326096339707,0.9657459749724067,0.9660074814727517,0.9665659562265629,0.9655685375908234,0.0004757218539890272
marginal,marginal_1234_0.1,rank,42:0.360000;2026:0.270000;777:0.270000;1234:0.100000,0.9658014561673611,6.793462497767244e-06,0.9651309647698536,0.9657424834102369,0.9660036801189594,0.9665631361332943,0.9655673695807729,0.0004751597420641079
marginal,marginal_1234_0.15,probability,42:0.340000;2026:0.255000;777:0.255000;1234:0.150000,0.9658069291181763,1.2266413312977953e-05,0.9651380000335696,0.9657495371954832,0.9660104083819687,0.9665674441651123,0.9655701756212097,0.0004746786174981591
marginal,marginal_1234_0.15,rank,42:0.340000;2026:0.255000;777:0.255000;1234:0.150000,0.9658044080739765,9.745369113134394e-06,0.9651360980246457,0.965746137987245,0.9660068292865395,0.9665645318447718,0.9655689627023338,0.00047417943614725164
marginal,marginal_1234_0.2,probability,42:0.320000;2026:0.240000;777:0.240000;1234:0.200000,0.9658088715485916,1.4208843728269471e-05,0.9651421083880686,0.9657523831681505,0.9660127896672027,0.9665674179051346,0.9655706631483761,0.00047359946444089693
marginal,marginal_1234_0.2,rank,42:0.320000;2026:0.240000;777:0.240000;1234:0.200000,0.9658063776169229,1.171491205953501e-05,0.9651404405623284,0.9657491469747501,0.9660093233501321,0.9665646755769207,0.9655693451885183,0.0004731034618682706
