method,feature_a,feature_b,original_correlation,synthetic_correlation,absolute_difference
spearman,gaming_hours,app_opens_per_day,-0.009852164529992326,0.01970565023600181,0.029557814765994138
spearman,app_opens_per_day,weekend_screen_time,0.022397064186686043,0.05138683763634451,0.028989773449658467
spearman,age,gaming_hours,-0.026374748891186062,0.0019673013383827032,0.028342050229568767
pearson,gaming_hours,sleep_hours,-0.0028742898896551793,0.025348979933317542,0.02822326982297272
pearson,age,gaming_hours,-0.026107482321784968,0.0015651686106577624,0.02767265093244273
spearman,gaming_hours,sleep_hours,-0.0032549987735551664,0.024175299118774213,0.02743029789232938
pearson,app_opens_per_day,weekend_screen_time,0.021069054340101704,0.04689920121201478,0.025830146871913078
pearson,work_study_hours,sleep_hours,-0.027150202831699232,-0.0013204013366681633,0.025829801495031068
spearman,work_study_hours,sleep_hours,-0.027019619608686526,-0.0020297528643435036,0.024989866744343024
spearman,sleep_hours,app_opens_per_day,0.0057832122141995125,0.026024766494323774,0.020241554280124262
pearson,age,work_study_hours,-0.01714679708245594,0.002750042403431924,0.019896839485887864
spearman,age,work_study_hours,-0.017102615741505855,0.0015077872080892472,0.018610402949595102
pearson,sleep_hours,app_opens_per_day,0.005691613162341235,0.023874618075169125,0.01818300491282789
spearman,daily_screen_time_hours,sleep_hours,0.019444533973907312,0.035776894721256614,0.0163323607473493
spearman,social_media_hours,sleep_hours,0.005918813508182466,0.020064490020048578,0.014145676511866111
pearson,social_media_hours,sleep_hours,0.00594743065768765,0.018481329565671657,0.012533898907984006
pearson,daily_screen_time_hours,sleep_hours,0.01934324351944723,0.031526908636218806,0.012183665116771575
spearman,sleep_hours,weekend_screen_time,0.020126530736597786,0.03211066394624649,0.011984133209648702
pearson,sleep_hours,weekend_screen_time,0.018933391889392328,0.030332325928246643,0.011398934038854315
pearson,age,social_media_hours,0.0003421059674347216,0.01063654693009334,0.010294440962658618
pearson,age,sleep_hours,-0.007462040667010741,0.002508450590684012,0.009970491257694752
spearman,age,sleep_hours,-0.007515743851952427,0.0023298445832748986,0.009845588435227325
pearson,notifications_per_day,app_opens_per_day,0.004597555190966512,0.01434155442878486,0.009743999237818348
pearson,sleep_hours,notifications_per_day,0.01627336728740088,0.02546795135732645,0.009194584069925568
spearman,age,social_media_hours,0.00019234648761875086,0.008502225924050257,0.008309879436431506
spearman,notifications_per_day,app_opens_per_day,0.0045253752876433665,0.012184942823602244,0.007659567535958878
pearson,age,notifications_per_day,0.000387351809529587,-0.0070485959174244545,0.007435947726954041
spearman,sleep_hours,notifications_per_day,0.016078035046007858,0.023262095931321357,0.007184060885313499
spearman,age,notifications_per_day,0.0005896020253495576,-0.006096949045139544,0.006686551070489101
pearson,work_study_hours,notifications_per_day,-0.017517521839458327,-0.01099612003910805,0.006521401800350277
pearson,daily_screen_time_hours,notifications_per_day,0.0008113925283176448,0.007236781485938451,0.006425388957620806
spearman,daily_screen_time_hours,notifications_per_day,0.0007471218053747295,0.006823089887342894,0.006075968081968164
pearson,gaming_hours,notifications_per_day,0.015563147058030089,0.02007184315686944,0.004508696098839351
spearman,social_media_hours,notifications_per_day,-0.008670796039322925,-0.013084074522674679,0.004413278483351754
spearman,work_study_hours,notifications_per_day,-0.017766826647782504,-0.014169178353326364,0.00359764829445614
spearman,age,app_opens_per_day,-0.0024187282312864147,0.0005205067581732322,0.002939234989459647
pearson,social_media_hours,notifications_per_day,-0.008593370056977917,-0.0114192994959988,0.0028259294390208835
pearson,age,app_opens_per_day,-0.0022763875140817953,0.000460377313403216,0.002736764827485011
pearson,age,daily_screen_time_hours,0.01276741900118151,0.014881625527434737,0.002114206526253227
spearman,age,daily_screen_time_hours,0.01299515470527577,0.015065105871700507,0.0020699511664247373
spearman,gaming_hours,notifications_per_day,0.015931018460578268,0.01789061037001883,0.001959591909440561
pearson,notifications_per_day,weekend_screen_time,-0.002198609795551783,-0.00045071049462932475,0.0017478993009224584
spearman,age,weekend_screen_time,0.015319477651784597,0.015006257661134234,0.0003132199906503621
pearson,age,weekend_screen_time,0.015285796804002681,0.015133159071304093,0.00015263773269858817
spearman,notifications_per_day,weekend_screen_time,-0.0015028649428110517,-0.0016446844103479377,0.000141819467536886
